"","screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"14","maxk","89626699",2018-01-31 04:10:06,"958552949894066177","@beeonaposy feature engineering, or the process of using domain knowledge to extract new variables from raw data th… https://t.co/4uuqemLbEc",1,3,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958552949894066177","beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","JennaW227","948268146359709696",2018-01-31 04:00:08,"958550441616400384","@gshotwell @beeonaposy @jessenleon You have no empathy or ethics obviously",0,0,FALSE,NA,FALSE,NA,"958064770581782533","260399941","gshotwell","en","Twitter Lite",NA,NA,NA,NA,NA,NA,"gshotwell beeonaposy jessenleon","260399941 215035672 2527843680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","JennaW227","948268146359709696",2018-01-31 03:59:24,"958550256559509504","@beeonaposy @jessenleon Like you going to jail for harassing me, scum",0,0,FALSE,NA,FALSE,NA,"958064013694373889","215035672","beeonaposy","en","Twitter Lite",NA,NA,NA,NA,NA,NA,"beeonaposy jessenleon","215035672 2527843680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","JennaW227","948268146359709696",2018-01-31 03:58:52,"958550120403959809","@beeonaposy @practicingdev Following  ethics and the law and not cyber stalking",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Lite",NA,NA,NA,NA,NA,NA,"beeonaposy practicingdev","215035672 581092177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","miriamfriedel","213914378",2018-01-31 02:25:53,"958526720130342912","@y_s_e @beeonaposy In a thread of outstanding responses, this is my favorite.",0,1,FALSE,NA,FALSE,NA,"958134397391310848","35064970","y_s_e","en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"y_s_e beeonaposy","35064970 215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","halflings","15229075",2018-01-31 02:19:23,"958525084951441408","@beeonaposy Ability to quickly iterate / build prototypes, search for the relevant models and quickly pivot when they don't workout.",0,0,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","halflings","15229075",2018-01-31 02:18:42,"958524911563059200","@rctatman @beeonaposy @timClicks @joelgrus I think Spotify had a ""data librarian"" position that I found quite amusi… https://t.co/5N2ErGQTOf",0,1,FALSE,NA,FALSE,NA,"958114752995123202","101609102","rctatman","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/958524911563059200","rctatman beeonaposy timClicks joelgrus","101609102 215035672 15188612 14092380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","antmandan","47478759",2018-01-31 02:17:18,"958524562211160064","@beeonaposy @visualisingdata Ethics. Particularly when dealing with social data, these are not just rows in a table, these are people.",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"beeonaposy visualisingdata","215035672 137712607",NA,NA,NA,"004ec16c62325149","city","Brisbane","Brisbane, Queensland","AU","Australia","152.668522848 153.31787024 153.31787024 152.668522848 -27.767440994 -27.767440994 -26.996844991 -26.996844991","Polygon"
"22","marcosoconde","568691323",2018-01-31 02:13:43,"958523658926022662","@beeonaposy @_lacion_ Absolutely SQL",0,1,FALSE,NA,FALSE,NA,"958062360811405313","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"beeonaposy _lacion_","215035672 633700365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","viajake","47408352",2018-01-30 23:14:22,"958478522351325190","@beeonaposy Familiarity with datajoint",0,0,FALSE,NA,FALSE,NA,"958062683118624768","215035672","beeonaposy","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"beeonaposy","215035672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
